"Date";"Open";"High";"Low";"Close";"Currency"
"2021-05-20";1.2178;1.223;1.2168;1.2228;"USD"
"2021-05-19";1.2223;1.2247;1.216;1.2176;"USD"
"2021-05-18";1.215;1.2233;1.215;1.2225;"USD"
"2021-05-17";1.2147;1.2169;1.2126;1.2151;"USD"
"2021-05-14";1.2079;1.2148;1.207;1.2147;"USD"
"2021-05-13";1.2073;1.2107;1.2051;1.2081;"USD"
"2021-05-12";1.2148;1.2155;1.2066;1.2072;"USD"
"2021-05-11";1.213;1.2182;1.2124;1.215;"USD"
"2021-05-10";1.2164;1.2179;1.2127;1.2129;"USD"
"2021-05-07";1.2062;1.2172;1.2052;1.2163;"USD"
"2021-05-06";1.2006;1.2072;1.1993;1.2065;"USD"
"2021-05-05";1.2014;1.2028;1.1986;1.2006;"USD"
"2021-05-04";1.2063;1.207;1.2;1.2013;"USD"
"2021-05-03";1.2032;1.2078;1.2013;1.2065;"USD"
"2021-04-30";1.212;1.2127;1.2017;1.202;"USD"
"2021-04-29";1.2127;1.215;1.2103;1.2122;"USD"
"2021-04-28";1.2092;1.2135;1.2057;1.2126;"USD"
"2021-04-27";1.2086;1.2094;1.2057;1.2091;"USD"
"2021-04-26";1.2095;1.2119;1.2063;1.2087;"USD"
"2021-04-23";1.2017;1.2102;1.2012;1.2099;"USD"
"2021-04-22";1.2034;1.207;1.1993;1.2018;"USD"
"2021-04-21";1.2035;1.2045;1.1999;1.2035;"USD"
"2021-04-20";1.2035;1.2081;1.2023;1.2038;"USD"
"2021-04-19";1.1986;1.2049;1.1943;1.2038;"USD"
"2021-04-16";1.1967;1.1995;1.195;1.1982;"USD"
"2021-04-15";1.1982;1.1994;1.1957;1.1966;"USD"
"2021-04-14";1.1948;1.1988;1.1947;1.1981;"USD"
"2021-04-13";1.191;1.1957;1.1881;1.1949;"USD"
"2021-04-12";1.1901;1.1921;1.1872;1.1912;"USD"
"2021-04-09";1.1913;1.1922;1.1867;1.1902;"USD"
"2021-04-08";1.1868;1.1927;1.1861;1.1918;"USD"
"2021-04-07";1.1872;1.1916;1.1861;1.1872;"USD"
"2021-04-06";1.1814;1.188;1.1796;1.1873;"USD"
"2021-04-05";1.1764;1.1822;1.1738;1.1812;"USD"
"2021-04-02";1.1778;1.1787;1.1751;1.176;"USD"
"2021-04-01";1.173;1.1781;1.1713;1.1779;"USD"
"2021-03-31";1.1717;1.176;1.1704;1.1731;"USD"
"2021-03-30";1.1766;1.1776;1.1712;1.1718;"USD"
"2021-03-29";1.1825;1.1825;1.1761;1.1764;"USD"
"2021-03-26";1.1765;1.1805;1.1764;1.1796;"USD"
"2021-03-25";1.1813;1.1829;1.1762;1.1764;"USD"
"2021-03-24";1.1848;1.1854;1.1809;1.1814;"USD"
"2021-03-23";1.1932;1.1943;1.1843;1.185;"USD"
"2021-03-22";1.1948;1.1949;1.1873;1.1933;"USD"
"2021-03-19";1.1916;1.1939;1.1874;1.1906;"USD"
"2021-03-18";1.1979;1.1989;1.1906;1.1918;"USD"
"2021-03-17";1.1904;1.1986;1.1885;1.1982;"USD"
"2021-03-16";1.1929;1.1952;1.1884;1.1905;"USD"
"2021-03-15";1.1954;1.1966;1.1912;1.193;"USD"
"2021-03-12";1.1987;1.1989;1.1909;1.1954;"USD"
"2021-03-11";1.193;1.1991;1.1916;1.1985;"USD"
"2021-03-10";1.19;1.1931;1.1868;1.1928;"USD"
"2021-03-09";1.1846;1.1917;1.1836;1.1901;"USD"
"2021-03-08";1.1919;1.1933;1.1844;1.1845;"USD"
"2021-03-05";1.197;1.198;1.1894;1.1912;"USD"
"2021-03-04";1.2064;1.2067;1.1962;1.1972;"USD"
"2021-03-03";1.2091;1.2113;1.2044;1.2063;"USD"
"2021-03-02";1.2049;1.2096;1.1992;1.209;"USD"
"2021-03-01";1.2076;1.2103;1.2027;1.2048;"USD"
"2021-02-26";1.2174;1.2186;1.2063;1.2073;"USD"
"2021-02-25";1.2167;1.2243;1.2155;1.2175;"USD"
"2021-02-24";1.215;1.2175;1.211;1.217;"USD"
"2021-02-23";1.216;1.2181;1.2135;1.2151;"USD"
"2021-02-22";1.2121;1.217;1.2091;1.2159;"USD"
"2021-02-19";1.2093;1.2146;1.2083;1.212;"USD"
"2021-02-18";1.2039;1.2096;1.2035;1.2094;"USD"
"2021-02-17";1.2107;1.2111;1.2024;1.2043;"USD"
"2021-02-16";1.213;1.217;1.2095;1.2106;"USD"
"2021-02-15";1.2121;1.2147;1.2118;1.2129;"USD"
"2021-02-12";1.2131;1.2135;1.2083;1.212;"USD"
"2021-02-11";1.2118;1.2149;1.2113;1.2133;"USD"
"2021-02-10";1.212;1.2146;1.2108;1.212;"USD"
"2021-02-09";1.205;1.2123;1.2047;1.2121;"USD"
"2021-02-08";1.2045;1.2066;1.2021;1.2051;"USD"
"2021-02-05";1.1965;1.2051;1.1952;1.2049;"USD"
"2021-02-04";1.2038;1.2045;1.1958;1.1963;"USD"
"2021-02-03";1.2046;1.2051;1.2005;1.2034;"USD"
"2021-02-02";1.2062;1.2088;1.2011;1.2045;"USD"
"2021-02-01";1.2138;1.2138;1.2057;1.2061;"USD"
"2021-01-29";1.2122;1.2155;1.2094;1.2138;"USD"
"2021-01-28";1.211;1.2144;1.2081;1.2123;"USD"
"2021-01-27";1.2164;1.217;1.206;1.2113;"USD"
"2021-01-26";1.2142;1.2176;1.2108;1.2162;"USD"
"2021-01-25";1.2168;1.2185;1.2116;1.2143;"USD"
"2021-01-22";1.2167;1.2189;1.2151;1.2174;"USD"
"2021-01-21";1.2107;1.2171;1.2105;1.2167;"USD"
"2021-01-20";1.2129;1.2159;1.2078;1.2107;"USD"
"2021-01-19";1.2081;1.2147;1.2073;1.213;"USD"
"2021-01-18";1.2081;1.2088;1.2054;1.2079;"USD"
"2021-01-15";1.2155;1.2164;1.2074;1.208;"USD"
"2021-01-14";1.2155;1.2179;1.2111;1.2156;"USD"
"2021-01-13";1.2208;1.2224;1.2141;1.216;"USD"
"2021-01-12";1.2152;1.221;1.2139;1.2208;"USD"
"2021-01-11";1.222;1.2231;1.2133;1.215;"USD"
"2021-01-08";1.2274;1.2284;1.2193;1.222;"USD"
"2021-01-07";1.2329;1.2346;1.2245;1.2269;"USD"
"2021-01-06";1.2297;1.235;1.2268;1.2328;"USD"
"2021-01-05";1.2253;1.2306;1.2247;1.2301;"USD"
"2021-01-04";1.2242;1.2308;1.223;1.2254;"USD"
"2021-01-01";1.2216;1.2228;1.2126;1.2215;"USD"
"2020-12-31";1.2301;1.231;1.2209;1.2215;"USD"
"2020-12-30";1.2251;1.2308;1.2248;1.23;"USD"
"2020-12-29";1.2215;1.2276;1.2208;1.225;"USD"
"2020-12-28";1.219;1.2251;1.2182;1.2214;"USD"
"2020-12-25";1.2188;1.2209;1.2163;1.2196;"USD"
"2020-12-24";1.2187;1.2217;1.2178;1.2187;"USD"
"2020-12-23";1.2163;1.2221;1.216;1.2188;"USD"
"2020-12-22";1.2242;1.2257;1.2152;1.2162;"USD"
"2020-12-21";1.2219;1.2252;1.213;1.2244;"USD"
"2020-12-18";1.227;1.2273;1.2226;1.2257;"USD"
"2020-12-17";1.22;1.2273;1.2191;1.2269;"USD"
"2020-12-16";1.2153;1.2212;1.2127;1.2201;"USD"
"2020-12-15";1.2145;1.217;1.2123;1.2154;"USD"
"2020-12-14";1.2115;1.2176;1.2115;1.2143;"USD"
"2020-12-11";1.2141;1.2165;1.2106;1.2111;"USD"
"2020-12-10";1.2083;1.2158;1.2075;1.2142;"USD"
"2020-12-09";1.2105;1.2147;1.2061;1.2084;"USD"
"2020-12-08";1.2111;1.2133;1.2096;1.2106;"USD"
"2020-12-07";1.2123;1.2166;1.208;1.2108;"USD"
"2020-12-04";1.2146;1.2178;1.211;1.2121;"USD"
"2020-12-03";1.2115;1.2175;1.2102;1.2148;"USD"
"2020-12-02";1.207;1.212;1.2041;1.2118;"USD"
"2020-12-01";1.1926;1.2076;1.1926;1.2071;"USD"
"2020-11-30";1.1965;1.2004;1.1924;1.1925;"USD"
"2020-11-27";1.1912;1.1966;1.1907;1.1963;"USD"
"2020-11-26";1.1917;1.1943;1.1885;1.1913;"USD"
"2020-11-25";1.1891;1.1928;1.1883;1.1916;"USD"
"2020-11-24";1.1841;1.1897;1.1838;1.1893;"USD"
"2020-11-23";1.1858;1.1907;1.1803;1.1842;"USD"
"2020-11-20";1.1874;1.1891;1.1849;1.1856;"USD"
"2020-11-19";1.1857;1.1884;1.1819;1.1873;"USD"
"2020-11-18";1.1862;1.1891;1.1849;1.1856;"USD"
"2020-11-17";1.1854;1.1894;1.1845;1.1863;"USD"
"2020-11-16";1.1833;1.1868;1.1814;1.1853;"USD"
"2020-11-13";1.1806;1.1838;1.1799;1.1838;"USD"
"2020-11-12";1.178;1.1824;1.1759;1.1804;"USD"
"2020-11-11";1.1818;1.1834;1.1746;1.1778;"USD"
"2020-11-10";1.1814;1.1844;1.178;1.1814;"USD"
"2020-11-09";1.1873;1.1921;1.1797;1.1816;"USD"
"2020-11-06";1.1829;1.1891;1.1796;1.1876;"USD"
"2020-11-05";1.1724;1.1861;1.1711;1.183;"USD"
"2020-11-04";1.1721;1.1767;1.1605;1.1723;"USD"
"2020-11-03";1.164;1.1741;1.1635;1.1722;"USD"
"2020-11-02";1.1678;1.1678;1.1623;1.1641;"USD"
"2020-10-30";1.1675;1.1705;1.1641;1.1646;"USD"
"2020-10-29";1.1747;1.176;1.165;1.1674;"USD"
"2020-10-28";1.1796;1.18;1.1718;1.1746;"USD"
"2020-10-27";1.1808;1.184;1.1793;1.1797;"USD"
"2020-10-26";1.1862;1.1862;1.1803;1.1809;"USD"
"2020-10-23";1.1819;1.1866;1.1786;1.1862;"USD"
"2020-10-22";1.186;1.1867;1.1812;1.1821;"USD"
"2020-10-21";1.1822;1.1882;1.1822;1.1862;"USD"
"2020-10-20";1.1769;1.1842;1.1761;1.1824;"USD"
"2020-10-19";1.1717;1.1795;1.1704;1.1771;"USD"
"2020-10-16";1.1706;1.1746;1.1693;1.1718;"USD"
"2020-10-15";1.1746;1.176;1.1688;1.1708;"USD"
"2020-10-14";1.1745;1.1771;1.1721;1.1747;"USD"
"2020-10-13";1.1814;1.1819;1.173;1.1744;"USD"
"2020-10-12";1.1826;1.1827;1.1786;1.1813;"USD"
"2020-10-09";1.1763;1.1832;1.1753;1.1831;"USD"
"2020-10-08";1.1764;1.1783;1.1733;1.1761;"USD"
"2020-10-07";1.1736;1.1783;1.1725;1.1766;"USD"
"2020-10-06";1.1784;1.1808;1.1731;1.1733;"USD"
"2020-10-05";1.1716;1.1799;1.1709;1.1786;"USD"
"2020-10-02";1.1745;1.175;1.1697;1.1718;"USD"
"2020-10-01";1.1721;1.177;1.1718;1.1746;"USD"
"2020-09-30";1.1745;1.1757;1.1685;1.1722;"USD"
"2020-09-29";1.1667;1.1746;1.1663;1.1744;"USD"
"2020-09-28";1.1632;1.1682;1.1616;1.1666;"USD"
"2020-09-25";1.1668;1.1685;1.1612;1.1631;"USD"
"2020-09-24";1.166;1.1688;1.1626;1.1669;"USD"
"2020-09-23";1.1709;1.172;1.1652;1.1662;"USD"
"2020-09-22";1.1769;1.1776;1.1692;1.1708;"USD"
"2020-09-21";1.184;1.1873;1.1731;1.1771;"USD"
"2020-09-18";1.1848;1.1871;1.1829;1.1842;"USD"
"2020-09-17";1.1818;1.1853;1.1742;1.1849;"USD"
"2020-09-16";1.1847;1.1884;1.1789;1.1817;"USD"
"2020-09-15";1.1865;1.1902;1.1841;1.1846;"USD"
"2020-09-14";1.1843;1.1888;1.1832;1.1863;"USD"
"2020-09-11";1.1814;1.1874;1.1813;1.1847;"USD"
"2020-09-10";1.1805;1.1917;1.1801;1.1816;"USD"
"2020-09-09";1.1776;1.1832;1.1753;1.1804;"USD"
"2020-09-08";1.1814;1.1828;1.1765;1.1775;"USD"
"2020-09-07";1.1839;1.1851;1.1811;1.1816;"USD"
"2020-09-04";1.1851;1.1866;1.1781;1.1841;"USD"
"2020-09-03";1.1851;1.1865;1.179;1.1853;"USD"
"2020-09-02";1.1913;1.1929;1.1823;1.1857;"USD"
"2020-09-01";1.1936;1.2011;1.1902;1.1912;"USD"
"2020-08-31";1.1905;1.1966;1.1885;1.1937;"USD"
"2020-08-28";1.1823;1.1921;1.1811;1.1906;"USD"
"2020-08-27";1.183;1.1901;1.1765;1.1822;"USD"
"2020-08-26";1.1834;1.1843;1.1772;1.1831;"USD"
"2020-08-25";1.179;1.1845;1.1784;1.1836;"USD"
"2020-08-24";1.1798;1.185;1.1784;1.1788;"USD"
"2020-08-21";1.1863;1.1884;1.1755;1.1796;"USD"
"2020-08-20";1.1841;1.1869;1.1804;1.1861;"USD"
"2020-08-19";1.1931;1.1953;1.183;1.184;"USD"
"2020-08-18";1.1871;1.1966;1.1866;1.193;"USD"
"2020-08-17";1.1844;1.1882;1.1829;1.187;"USD"
"2020-08-14";1.1816;1.1851;1.1784;1.1844;"USD"
"2020-08-13";1.1784;1.1865;1.1782;1.1813;"USD"
"2020-08-12";1.1741;1.1813;1.1711;1.1785;"USD"
"2020-08-11";1.1737;1.1807;1.1723;1.1742;"USD"
"2020-08-10";1.1787;1.1802;1.1736;1.1739;"USD"
